127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002235
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000294
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000363
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001959
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000826
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001444
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001910
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001887
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002913
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001748
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001872
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001440
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002378
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001276
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001626
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001643
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001969
